Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,-,전화 송신음,-
Narration,-,-,[수신 전화 - 아델라이트 종합병원 레지던트 진예인],-,1,-,-,-
Player,-,-,어… 예인 씨 전화? 오늘은 무슨 일이지?,-,1,-,-,-
Narration,-,-,크게 한번 쉼호흡하고 목소리를 가다듬는다.,-,1,-,-,-
Player,-,-,후… 아. 아.,-,1,-,-,-
Narration,t,-,전화를 받는다.,-,2,-,-,-
Player,t,-,여보세요?,1_5,2,-,-,-
Jin Yein,t,-,지금 혹시 바쁘세요?,1_5,2,-,-,-
Player,t,-,"아뇨, 그냥 방에서 쉬고 있었어요. 무슨 일 있으세요?",1_5,2,-,-,-
Jin Yein,t,-, 제가 오늘 일찍 끝났거든요. 날씨도 좋은데 같이 산책 가실래요?,1_6,2,-,-,-
Player,t,-, 요즘은 예인 씨가 자주 연락해주시네요?,1_5,2,-,-,-
Jin Yein,t,-,왜요? 자주 연락하니까 싫으신가요?,1_6,2,-,-,-
Player,t,-,아뇨! 좋아요. 어디로 가면 될까요?,1_5,2,-,-,-
Jin Yein,t,-,주소 보냈어요! 거기로 와주시면 돼요.,1_6,2,-,-,-
Player,t,-,네! 확인했어요.,1_5,2,-,-,-
Narration,-,-,전화를 끊는다.,-,1,-,통화 종료음,-
Narration,-,-,약속한 장소에 도착했다.,-,3,-,-,-
Narration,-,-,예인 씨가 멀리서 손을 흔드는 게 보인다.,1_0,3,-,-,-
Jin Yein,-,-, 여기에요~!,1_1,3,-,-,-
Player,-,-,오… 방금 퇴근하고 나온 사람 맞아요? 되게 상큼한데요?,1_0,3,-,-,-
Jin Yein,-,-,"뭐예요, 갑자기… 만나자마자 칭찬하는거에요?",1_4,3,-,-,-
Player,-,-,저 원래 칭찬 잘해요. 지금까지는 어색했으니까 못했던 거고요.,1_0,3,-,-,-
Jin Yein,-,-,그럼... 이제는 어색하지 않다는 뜻이에요?,1_0,3,-,-,-
Player,-,-,음... 조금은요?,1_0,3,-,-,-
Jin Yein,-,-,"푸흐, 저도 이제 조금은 편해졌어요.",1_1,3,-,-,-
Narration,-,-,그 말이 사실인 듯 예인 씨의 얼굴은 편안한 미소가 가득했다.,1_1,3,-,-,-
Narration,-,-,두 사람은 나란히 걸어가기 시작한다.,1_0,3,-,-,-
Jin Yein,-,-,이 세계에 적응은 잘 되가나요?,1_1,3,-,-,-
Player,-,-,예인 씨 덕분에 빠르게 적응하고 있어요.,1_1,3,-,-,-
Player,-,-,지금 하고있는 일도 은근히 잘 맞구요.,1_1,3,-,-,-
Narration,-,-,예인 씨에게 상점에서 구매한 작은 장식품을 건네준다.,1_1,3,-,-,-
Player,-,-,예인 씨가 많이 도와준 거에 대한 보답이에요.,1_1,3,-,-,-
Jin Yein,-,-,와... 너무 감동이에요…!,1_3,3,-,-,-
Player,-,-,그나저나…,1_0,3,-,-,-
Player,-,-, 예인 씨가 저랑 있을 때 완전히 편해질려면 얼마나 남았을까요?,1_0,3,-,-,-
Jin Yein,-,-,푸흣...글쎄요? 아직은 조금 더 만나봐야 할 거 같은데~,1_1,3,-,-,-
Narration,-,-,예인 씨가 장난기 섞인 얼굴로 웃으며 말한다.,1_1,3,-,-,-
Player,-,-,너무 깐깐하시다~ 의사 선생님. 매일 환자 진찰하는 것처럼 \n의사 선생님 마음도 진찰해보는 건 어때요?,1_0,3,-,-,-
Jin Yein,-,-,놀리지 마세요! 저도 장난 잘 치거든요? 조심하세요~?,1_1,3,-,-,-
Player,-,-,네~ 예인씨 장난... 기대할게요?,1_0,3,-,-,-
Jin Yein,-,-,이렇게 아무 생각 없이 걷는 거… 좋네요.,1_0,3,-,-,-
Player,-,-,저도요. 이렇게 예인 씨랑 얘기하다보면 시간이 금방 가는 것 같아요.,1_0,3,-,-,-
Jin Yein,-,-,다음에도 또 같이 걸어요. 음… 가능하다면 자주?,1_0,3,-,-,-
Player,-,-,그거… 고백 같은 건가요?,1_0,3,-,-,-
Narration,-,-,예인 씨가 얼굴을 붉히며 말한다.,1_4,3,-,-,-
Jin Yein,-,-,무슨 소리예요! 그냥… 친구끼리 하는 산책 말이에요!,1_4,3,-,-,-
Player,-,-,친구라… 예인 씨가 연상 아니었나요?,1_0,3,-,-,-
Jin Yein,-,-,네? 저희 동갑인데… 모르셨어요?,1_0,3,-,-,-
Player,-,-,졸업 과정 하신다고 하길래… 당연히 저보다 한 살 많으신 줄 알았어요.,1_0,3,-,-,-
Player,-,-,그럼… 나이도 같은데 진짜로 완전 편안한 거 아닌가~  ,1_0,3,-,-,-
Jin Yein,-,-,으으… 또 놀린다... 자꾸 이러면 다음엔 제가 전화 안 할지도 몰라요?,1_2,3,-,-,-
Player,-,-,그럼 제가 하면 되죠?,1_0,3,-,-,-
Jin Yein,-,-,푸흐… 알았어요… 다음에 또 전화할테니까 꼭 받아요!,1_1,3,-,-,-
