Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,2,6,-
Narration,-,-,[수신 전화 - 프레이야 레가토],-,1,-,-,-
Narration,-,-,프레이야잖아...? 혹시... 리코더 검사하려고 전화한 건 아니겠지...?  ,-,1,-,-,-
Narration,-,-,긴장한 상태로 전화를 받는다.,-,1,-,-,-
Player,t,-,여보세요...?,-,2,-,-,-
Freyja,t,-, 요즘... 많이 바쁜가?,2_0,2,-,-,-
Freyja,t,-,리코더 말고도... 이것저것 일이 많을 것 같고.,2_0,2,-,-,-
Player,t,-,뭐... 이것저것 정신없긴 하지.,2_0,2,-,-,-
Player,t,-,그래도 프레이야가 가끔 이렇게 연락해주면 잠깐 숨 돌리는 기분이야.,2_0,2,-,-,-
Freyja,t,-,…풉. 다행이네. 혹시... 리코더는 많이 늘었어?,2_2,2,-,-,-
Player,t,-,프레이야랑 같이 한 리코더 특훈 이후로 엄청나게 늘었지. ,2_0,2,-,-,-
Player,t,-,혼자서 연습도 많이 하고 있고…,2_0,2,-,-,-
Player,t,-,사실 아직도 그때 특훈만 생각하면 머리가...,2_0,2,-,-,-
Freyja,t,-, …풉. 역시… 전생자 리코디스트네.,2_2,2,-,-,-
Player,t,-, 전생자 리코디스트...? ,2_0,2,-,-,-
Freyja,t,-,그래. 주변 사람들이… 그렇게 부르더라.,2_1,2,-,-,-
Freyja,t,-,너 연주하는 거… 보여줬어. 다들… 괜찮다던데.,2_0,2,-,-,-
Player,t,-,하... 그런 이상한 별명이 이렇게 생기다니…,2_0,2,-,-,-
Narration,t,-,스마트폰 너머로 프레이야의 웃음소리가 들린다.,2_2,2,-,-,-
Freyja,t,-," ...있지, 혹시 오늘... 시간 괜찮아?",2_0,2,-,-,-
Player,t,-, 오늘도 리코더 연습은 아니지…?,2_0,2,-,-,-
Freyja,t,-,"응, 아냐. 그냥... 같이 숲길 한번 걷는 건 어떨까 싶어서.",2_1,2,-,-,-
Player,t,-,좋아. 그럼 숲길로 갈게.,2_0,2,-,-,-
Narration,-,-,숲길에 도착했다.,-,3,4,-,-
Freyja,-,-,...여기야.,2_1,3,-,-,-
Narration,-,-,프레이야가 수줍게 손을 흔들며 반긴다.,2_1,3,-,-,-
Player,-,-, 기분이 평소보다 더 좋은 것 같네?,2_0,3,-,-,-
Freyja,-,-,...응. 나 같은 엘프들은... 숲을 굉장히 좋아하거든.,2_1,3,-,-,-
Freyja,-,-,엘프들의 원래 고향이 숲이어서 그런지는 몰라도… \n숲 속에 있으면 포근하고… 편안해.,2_0,3,-,-,-
Freyja,-,-, 사랑하는 사람의 품속에 있는 기분…이랄까.,2_0,3,-,-,-
Player,-,-,사랑하는 사람의 품속이라…,2_0,3,-,-,-
Narration,s,-,,2_0,3,-,-,-
Narration,a,나도 지금 그런 기분이 드는데… \n프레이야와 함께 있어서 그런 걸까?, 프레이야가 움찔하며 얼굴도 살짝 빨개진다.,2_0,3,-,-,1
Freyja,a,-,너… 너도 숲의 가호 같은 걸… 받았나…?,2_0,3,-,-,-
Narration,b,그래도 나는 숲이 싫어. \n모기가 너무 많아.,프레이야의 표정이 굳는다.,2_4,3,-,-,-1
Freyja,b,-,…그래? 모기… 물려본 적이 없네. ,2_4,3,-,-,-
Freyja,b,-,...엘프는 안 물리나 봐. 공감이 안 되네.,2_4,3,-,-,-
Freyja,c,나도 숲이 좋아. \n혹시 나도 엘프의 피가 섞인 거 아닐까?,…풉. ,2_2,3,-,-,0
Freyja,c,-,"아니, 너는 100% 인간이야.  \n엘프인 내가... 보증할게.",2_1,3,-,-,-
Player,-,-,그럼 이제... 이 숲 속을 저와 함께 걸어주실 엘프님 계실까요~,2_0,3,-,-,-
Freyja,-,-,…풉. 여기 있네요.,2_1,3,-,-,-
Freyja,-,-,나도... 숲 속을 함께 걷는 인간은… 네가 처음이야.,2_1,3,-,-,-
Narration,-,-,"둘은 나란히 서서 걸음을 옮긴다. \n햇살은 따스하게 나뭇잎을 비추고, 잔잔한 바람은 머리카락을 스친다.",2_0,3,-,-,-
Freyja,-,-,"날씨, 풍경… 그리고 너. 왠지… 오늘 숲에서의 일은... 오래 기억에 남을 것 같아.",2_0,3,-,-,-
Freyja,-,-,"다음에도… 시간이 괜찮다면, 같이 와줄래?",2_0,3,-,-,-
Player,-,-,"응. 오늘처럼 네가 좋아하는 곳이라면, 언제든지.",2_0,3,-,-,-
Narration,-,-,나뭇잎 사이로 들어오는 햇볕에 따뜻한 온기가 번진다.,2_0,3,-,-,-
