Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,신분증에 적혀있던 주소의 집. 비밀번호를 누르고 들어간다.,-,1,2,-,-
Player,-,-,혼자 살기엔 충분하네.,-,2,-,-,-
Narration,-,-,침대에 누워 스마트폰을 바라본다.,-,2,-,-,-
Player,-,-,…이게 현실이라니.,-,2,-,-,-
Player,-,-,차에 치였다고 생각했는데… 정신을 차려보니 이세계라고?,-,2,-,-,-
Player,-,-,하… 적어도 집이랑… 스마트폰은 있네…,-,2,-,-,-
Narration,-,-,피곤하네… 일단 좀 자자…,-,2,-,-,-
Narration,-,-,밤이 지나고 다음날,-,3,-,-,-
Player,-,-,역시 어제 그 일… 꿈이 아니었네.,-,4,-,-,-
Player,-,-,어제 날 구해준 그 사람…,-,4,-,-,-
Narration,-,-,명함을 자세히 본다.,-,4,-,-,-
Narration,-,-,"아델라이트 종합병원 레지던트 진예인이라고 쓰여 있고, \n그 밑에는 연락처가 적혀있다.",-,4,-,-,-
Player,-,-,의사인 건가? \n‘아델라이트 종합병원’이라니… 병원 이름도 판타지 같네.,-,4,-,-,-
Narration,-,-,잠시 망설인다.,-,4,-,-,-
Player,-,-,지금 연락해도 되려나…?,-,4,-,-,-
Narration,-,-,전화 버튼을 누른다.,-,4,-,-,-
Narration,-,-,[진예인님의 연락처로 전화를 걸고 있습니다...],-,4,-,6,-
Jin Yein,t,-,여보세요?,1_5,5,-,-,-
Player,t,-,아… 안녕하세요. 어제 횡단보도 근처에서 도움받았던 사람입니다. \n기억…하시나요?,1_5,5,-,-,-
Jin Yein,t,-,아! 그분이시군요? 몸은 좀 괜찮으세요?,1_5,5,-,-,-
Player,t,-,"네, 덕분에요. 혹시 진료 중이셨던 건 아니죠?",1_5,5,-,-,-
Jin Yein,t,-,"아뇨, 지금은 쉬는 중이어서 괜찮아요. 혹시 무슨 일로 연락하셨나요?",1_5,5,-,-,-
Player,t,-,그때 제대로 인사도 못 드린 것 같아서요. \n다시 한번 감사하다고 말씀드리고 싶었어요.,1_5,5,-,-,-
Jin Yein,t,-,"푸흐, 뭘요~ 제가 당연히 해야 할 일을 했을 뿐인데요.",1_6,5,-,-,-
Jin Yein,t,-,혹시 시간 괜찮으시면 제가 일하는 병원에 들러서 한번 검사해보시는 건 어때요?,1_5,5,-,-,-
Player,t,-,"아, 네! 예인 씨 일하는 시간에 맞춰서 가려면 몇 시에 가면 될까요?",1_5,5,-,-,-
Jin Yein,t,-,"아, 명함에 적힌 이름을 보셨나 보네요.",1_5,5,-,-,-
Jin Yein,t,-,제가 의대 졸업과정도 같이 하고 있어서 일찍 퇴근하거든요. \n오후 5시 전까지만 오시면 3층 진료실에 있을 거에요.,1_5,5,-,-,-
Player,t,-,네! 그럼 5시 전까지 갈게요~,1_5,5,-,-,-
Jin Yein,t,-,네! 그럼 조금 있다가 뵐게요~!,1_6,5,-,-,-
Narration,-,-,통화가 종료된다.,-,3,-,16,-
Narration,-,-,졸업하기도 전에 레지던트라니… 이세계에서는 그게 가능한 건가?,-,4,-,-,-
Narration,-,-,"아무튼, 빨리 준비해서 가자.",-,4,-,-,-
Narration,-,-,어제 예인 씨를 본 이후로... 예인 씨를 떠올릴 때마다 심장이 계속 두근거리네…,-,4,-,-,-
Narration,-,-,예인 씨를 보면 두근거리는 게 멈출까?,-,4,-,-,-
Narration,-,-,아델라이트 병원으로 향했다.,-,3,-,-,-
Narration,-,-,[아델라이트 병원 로비],-,6,9,9,-
Narration,-,-,환자들과 간호사들이 여기저기 돌아다니고 있다.,-,6,-,-,-
Player,-,-,병원이 되게 현대적이네…,-,6,-,-,-
Narration,-,-,접수처에 가서 신분증을 낸다.,-,6,-,-,-
Narration,-,-,내가 낸 신분증을 본 접수처 직원이 놀란다.,-,6,-,-,-
접수처 직원,-,-,어… 네… 진료 접수됐습니다. 3층 진료실로 가시면 됩니다.,-,6,-,-,-
Narration,-,-,뭐지? 저 반응은? 혹시 내 신분증이 이상한가?,-,6,-,-,-
Narration,-,-,"똑똑, 진료실의 문을 두드린다.",-,3,-,11,-
Jin Yein,-,-,네~ 들어오세요.,1_5,7,-,-,-
Narration,-,-,문을 열자 진예인과 눈이 마주친다.,1_5,7,-,-,-
Jin Yein,-,-,생각보다 빨리 오셨네요?,1_5,7,-,-,-
Player,-,-,통화 끝나자마자 바로 왔거든요. 병원 건물이 되게 크네요.,1_5,7,-,-,-
Jin Yein,-,-,엄청나게 크죠? 병원이 큰 만큼 해야 할 일도 많아요…,1_7,7,-,-,-
