Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,2,6,-
Narration,-,-, [수신 전화 - 루],-,1,-,-,-
 Player,-,-,응? 누나 전화? ,-,1,-,-,-
Narration,-,-,설마... 오늘도 물류 정리 도와달라는 건... 아니겠지…?,-,1,-,-,-
Narration,t,-,전화를 받는다.,-,2,-,-,-
Player,t,-,여보세요...?,-,2,-,-,-
Ru,t,-, 뭐 해? 지금?,3_0,2,-,-,-
Player,t,-,지금? 그냥 쉬고 있었는데.,3_0,2,-,-,-
Ru,t,-,잘 됐다! 오늘 날씨 진짜 좋거든. 나랑 해변 갈래?,3_2,2,-,-,-
Ru,t,-,해변?,3_0,2,-,-,-
Ru,t,-,응! 응! 너랑 가면 재밌을 거 같아서! \n바다도 엄청~ 예쁘고! 놀 것도 많아!,3_2,2,-,-,-
Player,t,-, 알았어. 준비하고 나갈게.,3_0,2,-,-,-
Ru,t,-,신난다! 그럼 해변에서 만나자? \n수영복도 챙겨와야 해~!,3_2,2,-,-,-
Narration,-,-,전화가 끊겼다.,-,1,-,16,-
Player,-,-,이렇게 신나있으면… 거절 못 하지.,-,1,-,-,-
Narration,-,-,해변에 도착했다.,-,3,5,-,-
Narration,-,-,"해변은 반짝이는 햇살과 파도 소리, \n갈매기 울음이 어우러져 여름 분위기를 한껏 낸다.",-,3,-,12,-
Narration,-,-, 모래사장에서 맨발로 돌아다니고 있는 루의 모습이 보인다. ,3_0,3,-,-,-
Player,-,-, 누나!,3_0,3,-,-,-
Player,-,-,뭐 하고 있었어?,3_0,3,-,-,-
Narration,-,-,루가 한 손에 조개껍데기로 만든 목걸이를 들고 신나게 달려온다.,3_0,3,-,-,-
Ru,-,-,이거 너 주려고 만들고 있었어~,3_2,3,-,-,-
Narration,-,-,루가 나에게 조개껍데기로 만든 목걸이를 둘러준다.,3_2,3,-,-,-
Ru,-,-,잘 어울리네! 다행이다~,3_2,3,-,-,-
Narration,-,-,평생 목걸이 같은 건 해본 적이 없지만…,3_0,3,-,-,-
Narration,-,-, 누나가 만들어준 목걸이라서 그런지 편안하다.,3_0,3,-,-,-
Ru,-,-,그나저나…,3_0,3,-,-,-
Ru,-,-,우리 뭐 하고 놀까? ,3_0,3,-,-,-
Ru,-,-,수영도 좋고! 모래성도 좋고! \n너랑 같이 노는 거라면 다 좋아! ,3_2,3,-,-,-
Player,-,-,그래. 다 하자~,3_0,3,-,-,-
Narration,-,-,루가 갑자기 나를 데리고 물속으로 들어간다.,3_1,3,-,-,-
Player,-,-,옷… 옷은! 안 갈아입어도 돼?!,3_0,3,-,-,-
Ru,-,-,괜찮아~ 어때~,3_2,3,-,-,-
Narration,-,-, 루가 물장구를 치며 장난친다.,3_1,3,-,12,-
Ru,-,-, 무서운 상어가 간다!!,3_1,3,-,-,-
Player,-,-,으악! 같은 물 안에 있는 거 맞지?! \n물이 왜 이렇게 많ㅇ….,3_2,3,-,-,-
Narration,-,-,"그 후로 물놀이하는 동안, 나만 물을 잔뜩 맞았다.",-,5,-,-,-
Narration,-,-,"물놀이를 마친 후, 함께 모래성을 만든다.",3_0,4,-,-,-
Narration,-,-,"루는 조심스레 탑을 쌓고, 나는 서투르지만 정성껏 돕는다.",3_0,4,-,-,-
Ru,-,-,이렇게 열심히 모래성 만든 건 처음이야~!,3_2,4,-,-,-
Player,-,-,그러게. 우리 꽤 잘 만든 거 같은데?,3_0,4,-,-,-
Ru,-,-,이 누나가! 잘 만들었지~,3_2,4,-,-,-
Narration,-,-,루와 함께 바닷가를 천천히 걸으며 반짝이는 조개껍데기들을 줍는다.,3_0,4,-,-,-
Ru,-,-,이거 예쁘지 않아? 뭐 하나 더 만들어줄까?,3_0,4,-,-,-
Player,-,-,나 이러다 조개 소년 되는 거 아니야?,3_0,4,-,-,-
Narration,-,-,그 말에 루가 큰 소리로 웃는다.,3_2,4,-,-,-
Ru,-,-,이렇게 너랑 수영도 하고... 모래성도 만들고... 함께 바닷가도 걸으니까…,3_0,4,-,-,-
Ru,-,-,모든 걱정이 바닷바람에 날려 사라지는 느낌이야~,3_0,4,-,-,-
Ru,-,-,다음에도… 나랑 바다에 와줄 거지?,3_0,4,-,-,-
Player,-,-,응. 다음엔 내가 누나가 만든 것보다 더 멋진 목걸이를 만들어줄게.,3_0,4,-,-,-
Ru,-,-,정말? 나 기대하고 있는다?,3_2,4,-,-,-
Player,-,-,근데 바닷물이 너무 짜다~ \n다음엔 민물로 가야겠어~,3_0,4,-,-,-
Narration,-,-,루가 픽하고 웃으며 손으로 바닷물을 튀긴다.,3_2,4,-,-,-
Ru,-,-,난 바다 상어거든~?,3_1,4,-,-,-
Narration,-,-,파도치는 수평선 너머로 해가 저물어간다.,-,4,-,12,-
