Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,t,-,스마트폰의 벨소리가 울린다.,-,1,-,전화 송신음,-
Narration,t,-,[수신 전화 - 아델라이트 종합병원 레지던트 진예인],-,1,-,-,-
 Player,t,-,예인 씨 전화다. 이제 뭔가 자연스럽게 연락하는 것 같네. ,-,1,-,-,-
Narration,t,-,숨을 들이쉬었다 내쉰다.,-,1,-,-,-
Player,t,-,예인 씨랑 통화할 때는 항상 두근거린다니까.,-,1,-,-,-
Narration,-,-,전화를 받는다.,-,2,-,-,-
Player,-,-,"네, 여보세요?",-,2,-,-,-
Jin Yein,-,-," 진예인이에요! \n혹시 지금 통화 괜찮으세요?",1_6,2,-,-,-
Player,-,-,물론이죠. 무슨 일이에요?,1_5,2,-,-,-
Jin Yein,-,-,그게… 이유가 있어서 전화한 건 아니고요. \n가끔은 특별한 이유 없이 누군가와 통화하고 싶을 때 있잖아요?,1_6,2,-,-,-
Jin Yein,-,-,그래서 그냥 연락해봤어요!,1_6,2,-,-,-
Player,-,-,그 누군가가 저라니… 왠지 기분 좋은데요?,1_5,2,-,-,-
Jin Yein,-,-,"진짜요? 푸흣, 다행이네요. ",1_6,2,-,-,-
Jin Yein,-,-,"아, 지금 병원 옥상에서 통화 중이에요. \n좀 쌀쌀하긴 해도 바람이 기분 좋게 불어서 괜찮아요.",1_5,2,-,-,-
Player,-,-,병원 옥상이라… 뭔가 드라마 같네요. 혼자 있어도 괜찮아요?,1_5,2,-,-,-
Jin Yein,-,-,괜찮아요. 가끔은 이렇게… 혼자 있는 것도 나쁘지 않거든요.,1_5,2,-,-,-
Narration,s,-,,1_5,2,-,-,-
Narration,a,병원 옥상에 있는 예인 씨… 불어오는 선선한 바람… 마치 영화의 한 장면 같은데요?,예인 씨가 수줍게 웃는 소리가 스마트폰 너머로 들려온다.,1_6,2,-,-,1
Jin Yein,a,-,무슨 그런 말을… 부끄러워요!,1_9,2,-,-,-
Narration,b,그렇게 혼자서 바람맞다가 감기 걸리면요? 의사면서 자기 자신은 너무 신경 안 쓰는 거 아니에요?,예인 씨가 어이없는 듯 웃는다.,1_5,2,-,-,-1
Jin Yein,b,-,"잠깐이에요, 잠깐! 의사니까 이 정도로 감기 안 걸린다는 건 알거든요?",1_7,2,-,-,-
Narration,c,그래도… 내가 같이 있어줬으면 하는 거 아니에요?,예인 씨가 당황한 듯이 말을 더듬는다.,1_9,2,-,-,0
Jin Yein,c,-,그… 그런 거 아니에요! ,1_9,2,-,-,-
Player,-,-, 아무튼… 이렇게 예인 씨랑 통화하면서 목소리 들으니까 좋네요.,1_5,2,-,-,-
Player,-,-,역시 지금 갈까요? 병원으로?,1_5,2,-,-,-
Jin Yein,-,-,안돼요. 오늘은 전화로 충분해요. 지금 이 거리감이… 딱 좋은 걸지도 모르니까.,1_5,2,-,-,-
Player,-,-,음… 알았어요.,1_5,2,-,-,-
Player,-,-,그럼 오늘 하루는 어땠어요? 일이 많지는 않았어요?,1_5,2,-,-,-
Jin Yein,-,-,"음… 많긴 했는데, 이상하게 피곤하진 않았어요.",1_5,2,-,-,-
Jin Yein,-,-,요즘은…. 누군가 때문에… \n오히려 더 힘이 나고 일하는 것도 기대가 되는 기분이랄까?,1_5,2,-,-,-
Player,-,-,그건 좀… 기분 좋은 칭찬이네요.,1_5,2,-,-,-
Jin Yein,-,-,"방금은 좀 닭살이었죠? 푸흣, 저도 말하면서 놀랐어요.",1_6,2,-,-,-
Jin Yein,-,-,그리고… 기도할 때도…,1_5,2,-,-,-
Player,-,-,기도할 때도?,1_5,2,-,-,-
Jin Yein,-,-,"푸흐흣, 비밀이에요~",1_6,2,-,-,-
Player,-,-,"예인 씨, 가끔씩 이렇게 전화만 하는 것도… 나쁘지 않네요.",1_5,2,-,-,-
Jin Yein,-,-,저도 그래요. 전화만 해도 옆에 누가 있는 느낌이에요.,1_5,2,-,-,-
Jin Yein,-,-,괜히 마음 설레고 따뜻해지는 기분... ,1_5,2,-,-,-
Jin Yein,-,-, 그런 감정이 제 안에서 느껴져요.,1_5,2,-,-,-
Player,-,-,그럼 다음엔… 제가 진짜로 옆에 있어주는 건 어떨 것 같아요? ,1_5,2,-,-,-
Player,-,-,"아무 말 없이, 그냥 같이 하늘만 보면서 있는 거에요.",1_5,2,-,-,-
Narration,-,-,예인 씨가 잠시동안 아무 말도 하지 않았다.,1_5,2,-,-,-
Jin Yein,-,-,...좋아요. 다음에는 옆에서 같이 하늘 봐줘요.,1_5,2,-,-,-
Player,-,-,친구로서?,1_5,2,-,-,-
Jin Yein,-,-,"푸흐… 네, 친구로서~",1_6,2,-,-,-
Jin Yein,-,-,오늘도 이렇게 목소리 들려줘서 고마워요.,1_5,2,-,-,-
Player,-,-,저도 예인 씨랑 얘기하다 보면 괜히 웃게 되는 것 같아요.,1_5,2,-,-,-
Player,-,-,그럼 오늘은 이만 끊을게요. ,1_5,2,-,-,-
Player,-,-,"오늘도 따뜻한 하루 보내, 친구야.",1_5,2,-,-,-
Jin Yein,-,-,"푸흐. 그래, 너도 따뜻한 하루 보내~",1_6,2,-,-,-
