Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Freyja,-,-,...괜찮아?,2_0,1,1,-,-
Narration,-,-,으… 머리야… 분명 퇴근하는 길에…,2_0,1,-,-,-
Narration,-,-,달려오는 차에 부딪힌 줄 알았는데…,2_0,1,-,-,-
Narration,-,-,정신을 차려보니 갑자기 낮이라도 된 것처럼 해가 떠있고…,2_0,1,-,-,-
Narration,-,-,내 앞에 이 여자는 누구지…? 이 여자가 날 구해준 건가...?,2_0,1,-,-,-
Narration,-,-,굉장히 힙하게 생겼고… \n귀가 뾰족한…,2_0,1,-,-,-
Player,-,-,엘프...?!?!,2_0,1,-,-,-
Freyja,-,-,…왜.,2_0,1,-,-,-
Freyja,-,-,...엘프라서 놀랐어?,2_0,1,-,-,-
Freyja,-,-,아니면… 종족 차별?,2_0,1,-,-,-
Player,-,-, 아…아니요! 그런 뜻은 아니고요!,2_0,1,-,-,-
Narration,-,-, 뾰루퉁한 얼굴로 나를 지켜보다가 뭔가를 깨달은 듯 잠시 후 말을 잇는다.,2_0,1,-,-,-
Freyja,-,-,너… 설마 전생자?,2_0,1,-,-,-
Player,-,-,네? 전생자…? 그게 뭔데요…?,2_0,1,-,-,-
Freyja,-,-, 호오… 정말 어렸을 때 이후로는 처음 보는데 말이야.,2_1,1,-,-,-
Freyja,-,-,전생자면 뭐… 실수할 수도 있긴 하지.,2_1,1,-,-,-
Narration,-,-,"이 사람… 아니, 이 엘프가 무슨 말을 하는 거지…?",2_0,1,-,-,-
Freyja,-,-,아무튼… 괜찮아? ,2_0,1,-,-,-
Player,-,-,아… 네... 덕분에요.,2_0,1,-,-,-
Player,-,-,근데 저기…,2_0,1,-,-,-
Freyja,-,-,응? 왜? ,2_0,1,-,-,-
Player,-,-,왜… 초면에 반말을…,2_0,1,-,-,-
Freyja,-,-,난 엘프라서... 220살인데. 나보다 나이 많아?,2_0,1,-,-,-
Player,-,-,아… 아뇨.,2_0,1,-,-,-
Freyja,-,-,그리고… 너의 목숨을 구해준 생명의 은인이기도 하지.,2_1,1,-,-,-
Player,-,-,그렇죠…,2_0,1,-,-,-
Freyja,-,-,아무튼… 그런 걸 신경 쓰는 거 보니까 상태는 멀쩡한 거 같네.,2_0,1,-,-,-
Freyja,-,-,"자, 이건 내 전화번호.",2_0,1,-,-,-
Narration,-,-,엘프가 건네준 메모지에는 전화번호와 이름이 적혀있다.,2_0,1,-,-,-
Freyja,-,-,일단은... 내가 보호자인 셈이니까.,2_0,1,-,-,-
Player,-,-,어... 감사합니다.,2_0,1,-,-,-
Narration,,-,주변을 자세히 둘러본다.,2_0,1,-,-,-
Narration,-,-,"낯선 모습의 거리. 읽을 수는 있지만, 이질적인 글씨체의 표지판.",2_0,1,-,-,-
Narration,-,-,횡단보도의 선도 정렬이 완벽하다. ,2_0,1,-,-,-
Narration,-,-,게다가 주변에 보이는 이 집들은 뭐지...? \n마치 만화에서나 볼 법한 모습이야…,2_0,1,-,-,-
Narration,-,-,"사람들이 입는 옷은 평소와 비슷한데… \n귀가 뾰족한 사람도 있고, 꼬리가 달린 사람도 있다니…",2_0,1,-,-,-
Narration,-,-,???: 저 사람… 갑자기 저기에 나타나지 않았어? \n???: 전생자는... 아니겠지…? ???: 설마… 그거 역사책에서나 나오는 거잖아…,2_0,1,-,3,-
Player,-,-,전생자…,2_0,1,-,-,-
Narration,-,-,만화에서였나... 분명 어디선가 들은 적이 있는 단어인데…,2_0,1,-,-,-
Narration,-,-,방금 중학생 정도 돼 보이는 아이가 지나가면서 중얼거리는 말… 전부 학부 수준의 \n고급 수식들이다… 내가 겨우겨우 이해했던 공학 수식들을 저 나이에…,2_0,1,-,-,-
Narration,-,-,조금 떨어진 곳에서 바이올린을 연주하는 소리가 들린다.,2_0,1,-,-,-
Narration,-,-,소리가 들리는 쪽을 바라보니 연주자가 눈을 감은 상태로 주변의 분위기에 따라 \n연주하는 곡의 느낌을 조금씩 바꾸며 연주하고 있었다.,2_0,1,-,15,-
Narration,-,-,"즉흥 연주 같은데, 이 정도의 실력이라니...",2_0,1,-,-,-
Freyja,-,-,괜찮은 실력이네.,2_1,1,-,-,-
Player,-,-,괜찮은 실력? 저 정도면 엄청나게 대단한거 아닌가요...?,2_0,1,-,-,-
