Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,-,전화 송신음,-
Narration,-,-,[수신 전화 - 프레이야 레가토],-,1,-,-,-
Narration,t,-,전화를 받는다.,-,2,-,-,-
Player,t,-,여보세요? ,2_0,2,-,-,-
Freyja,t,-,혹시… 오늘 같이... 놀이공원 놀러 갈래?,2_0,2,-,-,-
Player,t,-, 놀이공원?,2_0,2,-,-,-
Freyja,t,-,오늘은... 공연이 없는 날이라. \n그냥… 심심해서.,2_0,2,-,-,-
Narration,t,-,프레이야가 원래 이런 곳에 놀러 가는 걸 좋아하는 성격이었나…?,2_0,2,-,-,-
Player,t,-,"그래, 같이 가자.",2_0,2,-,-,-
Freyja,t,-, 그럼... 2시간 뒤에. 놀이공원에서 봐.,2_1,2,-,-,-
Narration,-,-,전화를 끊는다.,-,1,-,통화종료음,-
Narration,-,-,프레이야의 목소리가 조금 들떠있는 것 같은데…,-,1,-,-,-
Player,-,-,일단 나도 빨리 준비하고 가야겠다.,-,1,-,-,-
Narration,-,-,"2시간 뒤, 놀이공원에 도착했다.",-,3,-,-,-
Freyja,-,-,…여기.,2_0,3,-,-,-
Narration,-,-,놀이공원 입구에 서 있는 프레이야가 보인다.,2_0,3,-,-,-
Player,-,-,들어가자!,2_0,3,-,-,-
Freyja,-,-,…응.,2_0,3,-,-,-
Narration,-,-,프레이야와 함께 놀이공원에 입장한다.,2_0,3,-,-,-
Narration,-,-, 놀이공원에 들어서자 환한 불빛과 사람들로 활기가 넘친다. ,2_0,3,-,-,-
Narration,-,-, 다양한 놀이기구와 기념품 가게들도 보인다.,2_0,3,-,-,-
Player,-,-,놀이공원에 놀이기구가 꽤 많네…,2_0,3,-,-,-
Player,-,-,전부 다 타려면 시간이 좀 걸리겠는데…,2_0,3,-,-,-
Player,-,-,우선... 가까이 있는 놀이기구부터 타볼까?,2_0,3,-,-,-
Freyja,-,-,…좋아.,2_1,3,-,-,-
Narration,-,-,그렇게 가까이 있는 것부터 시작해 다양한 놀이기구를 탄다.,-,4,-,-,-
Player,-,-,아직 안 탄 놀이기구가… 어디 있으려나?,2_0,3,-,-,-
Freyja,-,-,…그러게. 지금까지 탄 놀이기구는... 별로 안 무서웠어.,2_0,3,-,-,-
Narration,-,-,응…? 아까 놀이기구 타면서는 귀가 아플 정도로 비명을 지르더니…,2_0,3,-,-,-
Narration,-,-,내려와서는 아무렇지도 않은 척하고 있네…?,2_0,3,-,-,-
